id,geo_name,est_median_rent,moe_median_rent
8600000US01984,ZCTA5_01984,,
8600000US01985,ZCTA5_01985,1420.00,760.00
8600000US02019,ZCTA5_02019,1349.00,364.00
8600000US02021,ZCTA5_02021,1587.00,192.00
8600000US02025,ZCTA5_02025,1059.00,529.00
8600000US02026,ZCTA5_02026,1700.00,141.00
8600000US02030,ZCTA5_02030,1402.00,632.00
8600000US02032,ZCTA5_02032,1144.00,395.00
8600000US02035,ZCTA5_02035,1389.00,52.00
8600000US02038,ZCTA5_02038,1293.00,145.00
8600000US02043,ZCTA5_02043,2113.00,194.00
8600000US02045,ZCTA5_02045,1400.00,259.00
8600000US02047,ZCTA5_02047,,
8600000US02048,ZCTA5_02048,1214.00,123.00
8600000US02050,ZCTA5_02050,1313.00,126.00
8600000US02052,ZCTA5_02052,1363.00,88.00
8600000US02053,ZCTA5_02053,1072.00,93.00
8600000US02054,ZCTA5_02054,1467.00,197.00
8600000US02056,ZCTA5_02056,1155.00,267.00
8600000US02061,ZCTA5_02061,1414.00,461.00
8600000US02062,ZCTA5_02062,1482.00,87.00
8600000US02066,ZCTA5_02066,1073.00,557.00
8600000US02067,ZCTA5_02067,1474.00,180.00
8600000US02071,ZCTA5_02071,,
8600000US02072,ZCTA5_02072,1455.00,103.00
8600000US02081,ZCTA5_02081,1361.00,142.00
8600000US02090,ZCTA5_02090,1741.00,158.00
8600000US02093,ZCTA5_02093,863.00,441.00
8600000US02108,ZCTA5_02108,2447.00,271.00
8600000US02109,ZCTA5_02109,3028.00,223.00
8600000US02110,ZCTA5_02110,2654.00,489.00
8600000US02111,ZCTA5_02111,1326.00,321.00
8600000US02113,ZCTA5_02113,1942.00,101.00
8600000US02114,ZCTA5_02114,2391.00,88.00
8600000US02115,ZCTA5_02115,1661.00,118.00
8600000US02116,ZCTA5_02116,2006.00,108.00
8600000US02118,ZCTA5_02118,1182.00,161.00
8600000US02119,ZCTA5_02119,769.00,80.00
8600000US02120,ZCTA5_02120,1128.00,93.00
8600000US02121,ZCTA5_02121,870.00,154.00
8600000US02122,ZCTA5_02122,1426.00,100.00
8600000US02124,ZCTA5_02124,1298.00,58.00
8600000US02125,ZCTA5_02125,1281.00,76.00
8600000US02126,ZCTA5_02126,1351.00,99.00
8600000US02127,ZCTA5_02127,1594.00,123.00
8600000US02128,ZCTA5_02128,1442.00,69.00
8600000US02129,ZCTA5_02129,1532.00,241.00
8600000US02130,ZCTA5_02130,1759.00,118.00
8600000US02131,ZCTA5_02131,1493.00,85.00
8600000US02132,ZCTA5_02132,1611.00,133.00
8600000US02134,ZCTA5_02134,1775.00,42.00
8600000US02135,ZCTA5_02135,1795.00,43.00
8600000US02136,ZCTA5_02136,1253.00,90.00
8600000US02138,ZCTA5_02138,2263.00,51.00
8600000US02139,ZCTA5_02139,2137.00,56.00
8600000US02140,ZCTA5_02140,2099.00,97.00
8600000US02141,ZCTA5_02141,2123.00,89.00
8600000US02142,ZCTA5_02142,3159.00,134.00
8600000US02143,ZCTA5_02143,1897.00,106.00
8600000US02144,ZCTA5_02144,1989.00,66.00
8600000US02145,ZCTA5_02145,1781.00,68.00
8600000US02148,ZCTA5_02148,1519.00,79.00
8600000US02149,ZCTA5_02149,1400.00,44.00
8600000US02150,ZCTA5_02150,1343.00,50.00
8600000US02151,ZCTA5_02151,1292.00,97.00
8600000US02152,ZCTA5_02152,1443.00,140.00
8600000US02155,ZCTA5_02155,1772.00,94.00
8600000US02163,ZCTA5_02163,2578.00,234.00
8600000US02169,ZCTA5_02169,1522.00,56.00
8600000US02170,ZCTA5_02170,1395.00,64.00
8600000US02171,ZCTA5_02171,1717.00,85.00
8600000US02176,ZCTA5_02176,1553.00,127.00
8600000US02180,ZCTA5_02180,1366.00,83.00
8600000US02184,ZCTA5_02184,1387.00,146.00
8600000US02186,ZCTA5_02186,1147.00,300.00
8600000US02188,ZCTA5_02188,1454.00,82.00
8600000US02189,ZCTA5_02189,1325.00,135.00
8600000US02190,ZCTA5_02190,1548.00,150.00
8600000US02191,ZCTA5_02191,1507.00,154.00
8600000US02199,ZCTA5_02199,3116.00,395.00
8600000US02203,ZCTA5_02203,,
8600000US02210,ZCTA5_02210,3070.00,192.00
8600000US02215,ZCTA5_02215,1993.00,76.00
8600000US02301,ZCTA5_02301,1081.00,28.00
8600000US02302,ZCTA5_02302,1009.00,83.00
8600000US02322,ZCTA5_02322,1183.00,210.00
8600000US02324,ZCTA5_02324,1541.00,92.00
8600000US02330,ZCTA5_02330,1261.00,262.00
8600000US02332,ZCTA5_02332,1554.00,634.00
8600000US02333,ZCTA5_02333,1018.00,184.00
8600000US02338,ZCTA5_02338,,
8600000US02339,ZCTA5_02339,1044.00,365.00
8600000US02341,ZCTA5_02341,1327.00,1289.00
8600000US02343,ZCTA5_02343,740.00,293.00
8600000US02346,ZCTA5_02346,1159.00,99.00
8600000US02347,ZCTA5_02347,1344.00,108.00
8600000US02351,ZCTA5_02351,1212.00,112.00
8600000US02356,ZCTA5_02356,1406.00,258.00
8600000US02357,ZCTA5_02357,,
8600000US02359,ZCTA5_02359,1413.00,479.00
8600000US02360,ZCTA5_02360,1325.00,105.00
8600000US02364,ZCTA5_02364,821.00,305.00
8600000US02366,ZCTA5_02366,,
8600000US02367,ZCTA5_02367,868.00,354.00
8600000US02368,ZCTA5_02368,1479.00,133.00
8600000US02370,ZCTA5_02370,1115.00,109.00
8600000US02375,ZCTA5_02375,1482.00,134.00
8600000US02379,ZCTA5_02379,1333.00,257.00
8600000US02382,ZCTA5_02382,1262.00,101.00
8600000US02420,ZCTA5_02420,2123.00,227.00
8600000US02421,ZCTA5_02421,2503.00,274.00
8600000US02445,ZCTA5_02445,2246.00,105.00
8600000US02446,ZCTA5_02446,2164.00,84.00
8600000US02451,ZCTA5_02451,1821.00,189.00
8600000US02452,ZCTA5_02452,1795.00,81.00
8600000US02453,ZCTA5_02453,1536.00,80.00
8600000US02457,ZCTA5_02457,,
8600000US02458,ZCTA5_02458,1668.00,124.00
8600000US02459,ZCTA5_02459,1823.00,185.00
8600000US02460,ZCTA5_02460,1734.00,150.00
8600000US02461,ZCTA5_02461,2345.00,467.00
8600000US02462,ZCTA5_02462,1403.00,679.00
8600000US02464,ZCTA5_02464,2093.00,249.00
8600000US02465,ZCTA5_02465,1720.00,206.00
